Transaction Number,Date,Description,Memo,Category,Transaction Amount,Balance,Type
31842,13/07/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,220660.21,Occasional
31841,13/07/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,220257.21,Occasional
31831,13/07/2017,DEBIT PURCHASE,Ferrari Segway,Shopping,-5032.86,215224.35,Occasional
31859,14/07/2017,DEBIT PURCHASE,Black Hole Therapy,Health & Fitness,-21005.50,194218.85,Occasional
31844,14/07/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,187718.85,Recurring
31845,15/07/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,157692.50,Recurring
101553,15/07/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,716492.01,874184.51,Recurring
31846,16/07/2017,DEBIT PURCHASE,Self Driving Unicycle Festival,Entertainment,-1667.64,872516.87,Occasional
101595,16/07/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,922516.87,Recurring
31847,17/07/2017,DEBIT PURCHASE,Cannibalistic Sushi,Food & Dining,-1352.74,921164.13,Occasional
31843,20/07/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-32.85,921131.28,Occasional
31852,21/07/2017,DEBIT PURCHASE,Hachikyo,Food & Dining,-1789.98,919341.30,Occasional
31849,21/07/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,918442.98,Recurring
31848,21/07/2017,DEBIT PURCHASE,Invisible Neckties,Clothing & Personal,-955.11,917487.87,Occasional
31835,21/07/2017,DEBIT PURCHASE,Bowser Beer Brewery,Pets,-4032.11,913455.76,Occasional
31850,22/07/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,901089.81,Recurring
31851,23/07/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,895728.49,Recurring
31854,24/07/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,887069.01,Recurring
31853,24/07/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,884562.02,Recurring
31856,25/07/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,882256.81,Recurring
31855,25/07/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,865906.49,Recurring
31858,26/07/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,863340.12,Recurring
31857,27/07/2017,DEBIT PURCHASE,"Pink, Private Show",Entertainment,-25006.35,838333.77,Occasional
31866,30/07/2017,DEBIT PURCHASE,5 Acres on the Moon,Shopping,-150.23,838183.54,Occasional
31862,01/08/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,733121.19,Recurring
31863,02/08/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,723064.32,Recurring
31864,03/08/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,720217.45,Recurring
31876,04/08/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,719814.45,Occasional
31865,04/08/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,701451.58,Recurring
31869,05/08/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,698297.93,Recurring
31868,05/08/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-28654.97,669642.96,Recurring
101530,05/08/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,10155.14,679798.10,Recurring
31871,06/08/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-6525.65,673272.45,Recurring
31873,07/08/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,671920.43,Recurring
31872,07/08/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,661594.80,Recurring
31870,07/08/2017,DEBIT PURCHASE,Goldfish Walker,Pets,-250.65,661344.15,Occasional
101568,07/08/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,731344.15,Recurring
31895,09/08/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,730941.65,Occasional
31874,09/08/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,720441.13,Recurring
31878,10/08/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-210.85,720230.28,Occasional
31875,12/08/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,712167.40,Recurring
31894,13/08/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,-15020.32,697147.08,Occasional
31877,13/08/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,697143.83,Occasional
31879,14/08/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,690643.83,Recurring
31880,15/08/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,660617.48,Recurring
101596,16/08/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,710617.48,Recurring
31887,18/08/2017,DEBIT PURCHASE,Eternity,Food & Dining,-428.36,710189.12,Occasional
31884,21/08/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,709290.80,Recurring
31883,21/08/2017,DEBIT PURCHASE,Neurosurgeon Pedicure,Clothing & Personal,-2300.41,706990.39,Occasional
31885,22/08/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,694624.44,Recurring
31886,23/08/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,689263.12,Recurring
31889,24/08/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,680603.64,Recurring
31888,24/08/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,678096.65,Recurring
31891,25/08/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,675791.44,Recurring
31890,25/08/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,659441.12,Recurring
31893,26/08/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,656874.75,Recurring
31929,29/08/2017,DEBIT PURCHASE,Cocoon Therapy,Health & Fitness,-21050.33,635824.42,Occasional
31897,01/09/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,530762.07,Recurring
31902,02/09/2017,DEBIT PURCHASE,Lucky Cheng’s,Food & Dining,-37.57,530724.50,Occasional
31898,02/09/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,520667.63,Recurring
31899,03/09/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,517820.76,Recurring
31901,04/09/2017,DEBIT PURCHASE,Closet Water Slide,Shopping,-25365.32,492455.44,Occasional
31900,04/09/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,474092.57,Recurring
31904,05/09/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,470938.92,Recurring
31903,05/09/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-41256.36,429682.56,Recurring
101531,05/09/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,11265.11,440947.67,Recurring
31906,06/09/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-3722.32,437225.35,Recurring
31908,07/09/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,435873.33,Recurring
31907,07/09/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,425547.70,Recurring
101569,07/09/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,495547.70,Recurring
31909,09/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,485047.18,Recurring
31905,09/09/2017,DEBIT PURCHASE,Cloning service for Mervin,Pets,-35032.89,450014.29,Occasional
31910,12/09/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,441951.41,Recurring
31927,13/09/2017,DEBIT PURCHASE,Incredibles 3,Entertainment,-6356.32,435595.09,Occasional
31912,13/09/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,435591.84,Occasional
31914,14/09/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,429091.84,Recurring
31911,14/09/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,428688.84,Occasional
31922,15/09/2017,DEBIT PURCHASE,Palms Thai,Food & Dining,-694.85,427993.99,Occasional
31915,15/09/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,397967.64,Recurring
31930,16/09/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,397565.14,Occasional
31916,16/09/2017,DEBIT PURCHASE,Elvis Festival,Entertainment,-6523.85,391041.29,Occasional
101597,16/09/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,441041.29,Recurring
31913,17/09/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-85.63,440955.66,Occasional
31919,21/09/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,440057.34,Recurring
31918,21/09/2017,DEBIT PURCHASE,"50,000 Monogramed Baseball Caps",Clothing & Personal,-17699.52,422357.82,Occasional
31920,22/09/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,409991.87,Recurring
31917,22/09/2017,DEBIT PURCHASE,Terry Bison Ranch,Food & Dining,-985.41,409006.46,Occasional
31921,23/09/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,403645.14,Recurring
31924,24/09/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,394985.66,Recurring
31923,24/09/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,392478.67,Recurring
31926,25/09/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,390173.46,Recurring
31925,25/09/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,373823.14,Recurring
31928,26/09/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,371256.77,Recurring
31937,01/10/2017,DEBIT PURCHASE,Bubba Gump Shrimp Co.,Food & Dining,-123.54,371133.23,Occasional
31932,01/10/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,266070.88,Recurring
31933,02/10/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,256014.01,Recurring
31934,03/10/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,253167.14,Recurring
31935,04/10/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,234804.27,Recurring
31940,05/10/2017,DEBIT PURCHASE,Bow-Lingual Dog Translator,Pets,-356.65,234447.62,Occasional
31939,05/10/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,231293.97,Recurring
31938,05/10/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-13095.87,218198.10,Recurring
101532,05/10/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,12375.08,230573.18,Recurring
31941,06/10/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,225341.53,Recurring
31943,07/10/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,223989.51,Recurring
31942,07/10/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,213663.88,Recurring
101570,07/10/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,283663.88,Recurring
31944,09/10/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,273163.36,Recurring
31952,10/10/2017,DEBIT PURCHASE,Beetle House NYC,Food & Dining,-125.65,273037.71,Occasional
31946,12/10/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,272634.71,Occasional
31945,12/10/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,264571.83,Recurring
31947,13/10/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,264568.58,Occasional
31949,14/10/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,258068.58,Recurring
31950,15/10/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,228042.23,Recurring
101554,15/10/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,696452.01,924494.24,Recurring
31951,16/10/2017,DEBIT PURCHASE,Belgian Grand Prix Pit Pass,Entertainment,-7925.65,916568.59,Occasional
101598,16/10/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,966568.59,Recurring
31957,20/10/2017,DEBIT PURCHASE,Parallax Restaurant,Food & Dining,-781.52,965787.07,Occasional
31954,21/10/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,964888.75,Recurring
31953,21/10/2017,DEBIT PURCHASE,Titanium Toe Boots,Clothing & Personal,-4625.32,960263.43,Occasional
31955,22/10/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,947897.48,Recurring
31948,22/10/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-64.85,947832.63,Occasional
31956,23/10/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,942471.31,Recurring
31959,24/10/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,933811.83,Recurring
31958,24/10/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,931304.84,Recurring
31961,25/10/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,928999.63,Recurring
31960,25/10/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,912649.31,Recurring
31963,26/10/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,910082.94,Recurring
31962,26/10/2017,DEBIT PURCHASE,Halloween Party,Entertainment,-65888.25,844194.69,Occasional
31936,26/10/2017,DEBIT PURCHASE,Zero Gravity Roomba,Shopping,-5032.86,839161.83,Occasional
31965,29/10/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,838759.33,Occasional
31967,01/11/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,733696.98,Recurring
31968,02/11/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,723640.11,Recurring
31981,03/11/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,723237.11,Occasional
31969,03/11/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,720390.24,Recurring
31992,04/11/2017,DEBIT PURCHASE,Tonga Room,Food & Dining,-674.36,719715.88,Occasional
31970,04/11/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-18362.87,701353.01,Recurring
31974,05/11/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,698199.36,Recurring
31973,05/11/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-11124.25,687075.11,Recurring
101533,05/11/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,13485.05,700560.16,Recurring
31976,06/11/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,695328.51,Recurring
31987,07/11/2017,DEBIT PURCHASE,A380 In-Flight Kitchen,Food & Dining,-8642.31,686686.20,Occasional
31978,07/11/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,685334.18,Recurring
31977,07/11/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,675008.55,Recurring
101571,07/11/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,745008.55,Recurring
31979,09/11/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,734508.03,Recurring
31983,11/11/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-54.32,734453.71,Occasional
31980,12/11/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,726390.83,Recurring
31999,13/11/2017,DEBIT PURCHASE,Badminton at Baden Baden,Health & Fitness,-1065.59,725325.24,Occasional
31982,13/11/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,725321.99,Occasional
31984,14/11/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,718821.99,Recurring
31985,15/11/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,688795.64,Recurring
31986,16/11/2017,DEBIT PURCHASE,UK Driving Lessons,Entertainment,-453.21,688342.43,Occasional
31975,16/11/2017,DEBIT PURCHASE,Dawgs Mix Tape,Pets,-320.55,688021.88,Occasional
101599,16/11/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,738021.88,Recurring
31989,21/11/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,737123.56,Recurring
31988,21/11/2017,DEBIT PURCHASE,Designer Headset,Clothing & Personal,-325.62,736797.94,Occasional
31990,22/11/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,724431.99,Recurring
31991,23/11/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,719070.67,Recurring
31994,24/11/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,710411.19,Recurring
31993,24/11/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,707904.20,Recurring
31997,25/11/2017,DEBIT PURCHASE,Avengers: Infinity War Live,Entertainment,-5698.32,702205.88,Occasional
31996,25/11/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,699900.67,Recurring
31995,25/11/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,683550.35,Recurring
31972,25/11/2017,DEBIT PURCHASE,The Singapore Flyer,Food & Dining,-369.21,683181.14,Occasional
31998,26/11/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,680614.77,Recurring
32000,29/11/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,680212.27,Occasional
31971,29/11/2017,DEBIT PURCHASE,Jewelry Safe/Humidor,Shopping,-120623.01,559589.26,Occasional
32002,01/12/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-105062.35,454526.91,Recurring
32003,02/12/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-10056.87,444470.04,Recurring
32027,03/12/2017,DEBIT PURCHASE,Dinner in the Sky,Food & Dining,-287.66,444182.38,Occasional
32004,03/12/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2846.87,441335.51,Recurring
32005,04/12/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,415972.64,Recurring
32009,05/12/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-3153.65,412818.99,Recurring
32008,05/12/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-23658.95,389160.04,Recurring
101534,05/12/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,14595.02,403755.06,Recurring
32011,06/12/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,398523.41,Recurring
32022,07/12/2017,DEBIT PURCHASE,Steam Plant,Food & Dining,-289.11,398234.30,Occasional
32013,07/12/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,396882.28,Recurring
32012,07/12/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,386556.65,Recurring
101572,07/12/2017,BALANCE TRANSER,Savings Account,Transfer,70000.00,456556.65,Recurring
32014,09/12/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,446056.13,Recurring
32015,12/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,437993.25,Recurring
32017,13/12/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,437990.00,Occasional
32019,14/12/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,431490.00,Recurring
32020,15/12/2017,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,401463.65,Recurring
32006,15/12/2017,DEBIT PURCHASE,Modern Glass Pool Table,Shopping,-73032.86,328430.79,Occasional
32034,16/12/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,-15020.32,313410.47,Occasional
32021,16/12/2017,DEBIT PURCHASE,Burning Man Season Pass,Entertainment,-5888.35,307522.12,Occasional
32018,16/12/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-685.65,306836.47,Occasional
101600,16/12/2017,BALANCE TRANSER,Money Market,Transfer,50000.00,356836.47,Recurring
32035,18/12/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,356433.97,Occasional
32010,18/12/2017,DEBIT PURCHASE,Dog Blazer,Pets,-758.23,355675.74,Occasional
32016,20/12/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,355272.74,Occasional
32024,21/12/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,354374.42,Recurring
32023,21/12/2017,DEBIT PURCHASE,Spider Silk Scarf,Clothing & Personal,-652.99,353721.43,Occasional
32025,22/12/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,341355.48,Recurring
32007,22/12/2017,DEBIT PURCHASE,Hajime Robot Restaurant,Food & Dining,-387.96,340967.52,Occasional
32026,23/12/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,335606.20,Recurring
32032,24/12/2017,DEBIT PURCHASE,"Paul McCartney, Private Show",Entertainment,-25006.35,310599.85,Occasional
32029,24/12/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,301940.37,Recurring
32028,24/12/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,299433.38,Recurring
32031,25/12/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,297128.17,Recurring
32030,25/12/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-16350.32,280777.85,Recurring
32033,26/12/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,-2566.37,278211.48,Recurring
32037,01/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,-103015.35,175196.13,Recurring
32042,02/01/2018,DEBIT PURCHASE,Twin Stars,Food & Dining,-6369.36,168826.77,Occasional
32038,02/01/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,-11157.87,157668.90,Recurring
32041,03/01/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,-2552.26,155116.64,Recurring
32062,04/01/2018,DEBIT PURCHASE,The Airplane Restaurant,Food & Dining,-367.65,154748.99,Occasional
32043,04/01/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,-25362.87,129386.12,Recurring
32045,05/01/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,-2241.12,127145.00,Recurring
32044,05/01/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,-64589.24,62555.76,Recurring
101535,05/01/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,15704.99,78260.75,Recurring
32067,06/01/2018,DEBIT PURCHASE,"Eagles , Private Show",Entertainment,-25006.35,53254.40,Occasional
32046,06/01/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,-5231.65,48022.75,Recurring
32048,07/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance,Insurance,-1352.02,46670.73,Recurring
32047,07/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance,-10325.63,36345.10,Recurring
101573,07/01/2018,BALANCE TRANSER,Savings Account,Transfer,70000.00,106345.10,Recurring
5101,08/01/2018,BALANCE TRANSER,Emergency Account,Transfer,25000.00,131345.10,Occasional
32049,09/01/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,-10500.52,120844.58,Recurring
32050,12/01/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,-8062.88,112781.70,Recurring
32052,13/01/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-3.25,112778.45,Occasional
32054,14/01/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,-6500.00,106278.45,Recurring
32055,15/01/2018,DEBIT PURCHASE,Personal Satellite Network,Utilities,-30026.35,76252.10,Recurring
101555,15/01/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,676412.01,752664.11,Recurring
32056,16/01/2018,DEBIT PURCHASE,Tango Lessons,Entertainment,-1235.46,751428.65,Occasional
101601,16/01/2018,BALANCE TRANSER,Money Market,Transfer,50000.00,801428.65,Recurring
32070,17/01/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-402.50,801026.15,Occasional
32059,21/01/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance,Insurance,-898.32,800127.83,Recurring
32058,21/01/2018,DEBIT PURCHASE,Regular Human Clothes,Clothing & Personal,-1112.52,799015.31,Occasional
32060,22/01/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,-12365.95,786649.36,Recurring
32061,23/01/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time),Clothing & Personal,-5361.32,781288.04,Recurring
32064,24/01/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,-8659.48,772628.56,Recurring
32063,24/01/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,-2506.99,770121.57,Recurring
32051,24/01/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-403.00,769718.57,Occasional
32066,25/01/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance,-2305.21,767413.36,Recurring
32065,25/01/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,-14030.25,753383.11,Recurring
32069,26/01/2018,DEBIT PURCHASE,Champagn Spa,Health & Fitness,-6398.58,746984.53,Occasional
